Price,Close,High,Low,Open,Volume
Ticker,XOM,XOM,XOM,XOM,XOM
Date,,,,,
2020-01-02,54.131080627441406,54.22269508757657,53.62717779698789,53.62717779698789,12456400
2020-01-03,53.69588088989258,54.48990568488237,53.56608988756735,54.46699625071376,17386900
2020-01-06,54.1081657409668,54.482271633418456,53.619535972275486,53.68824680306349,20081900
2020-01-07,53.66533660888672,53.84093481597485,53.069819515412895,53.82566768598155,17387700
2020-01-08,52.856056213378906,53.66534825189307,52.810243163608405,53.52792075243531,15137700
2020-01-09,53.26070022583008,53.3675876297224,52.397958690936356,52.78733756221647,14811800
2020-01-10,52.787330627441406,53.41338783581865,52.77206349671674,53.3904842272687,11995600
2020-01-13,53.29124450683594,53.34468821298471,52.764438099850146,52.833148939929806,9953900
2020-01-14,52.83314895629883,53.123276925419546,52.59647051827053,52.970576461427825,16261000
2020-01-15,52.74915313720703,53.13089547280676,52.59645853293745,52.83313691703303,11390300
2020-01-16,52.54302215576172,53.12327221765451,52.52775502317906,52.90949741193785,13340300
2020-01-17,52.344512939453125,52.741528274016694,52.13837461856827,52.489576906881325,18144100
2020-01-21,51.5963020324707,52.23762644178816,51.54285833169425,52.207086352069254,17982600
2020-01-22,51.298553466796875,51.687926580743564,51.15348946850635,51.58103915829612,17033100
2020-01-23,50.97787857055664,51.100038937007746,50.42817439630729,50.93207134560092,19605900
2020-01-24,50.634300231933594,50.90915516366007,50.420525468352,50.80226778186926,18238600
2020-01-27,49.42800521850586,50.183859378177495,49.39746512696012,49.94717512492972,21231000
2020-01-28,49.35929870605469,49.779211895515715,49.34402574648018,49.71050105221254,19664700
2020-01-29,48.947021484375,49.725773584310254,48.786690341003855,49.649426252932756,14202800
2020-01-30,49.46617889404297,49.53488972730427,48.42783914196657,48.69505764619362,18544700
2020-01-31,47.42767333984375,48.2522382936497,47.22916858011081,48.2522382936497,34282900
2020-02-03,46.36642837524414,46.893231802635384,46.091573400096294,46.86269462620143,27389300
2020-02-04,45.78617858886719,47.267337864781794,45.72509841462097,46.91613560025509,31922100
2020-02-05,47.89340591430664,48.046103471974895,46.267182313197516,46.38170620956462,32099200
2020-02-06,47.24445343017578,48.10718939807866,47.16810318138071,48.046112111506794,16055400
2020-02-07,46.931419372558594,47.07648046013323,46.61839066913468,46.88560922847319,15112500
2020-02-10,46.435768127441406,46.86945882654491,46.17245644482074,46.838480286406906,20934500
2020-02-11,46.877197265625,47.155998190249626,46.59839634100037,46.91592191403745,14908700
2020-02-12,47.450294494628906,47.651649102637506,46.90043868595516,47.504505464257235,17862100
2020-02-13,47.186973571777344,47.56645028492543,46.900429509197565,47.2876523332205,16949400
2020-02-14,46.970130920410156,47.36509691099439,46.68358389632717,47.357353754199934,10855300
2020-02-18,46.373809814453125,46.76877582558542,46.04079792372695,46.58291051009114,18948500
2020-02-19,46.73005294799805,46.94689679534359,46.335086946864976,46.55193079421051,12804900
2020-02-20,46.35831832885742,46.88494162136717,46.24989640762467,46.64486239986909,14817200
2020-02-21,45.7929801940918,46.08726746595457,45.52966850844664,46.08726746595457,20315700
2020-02-24,43.64775848388672,44.76295918642501,43.64775848388672,44.62355872932325,32096600
2020-02-25,41.97496032714844,43.94979640285314,41.79683815879538,43.94979640285314,36414500
2020-02-26,41.053367614746094,42.45511547578549,40.991413491411635,42.246014770264075,29801000
2020-02-27,38.5828857421875,40.611932712335616,38.567396473190826,40.04658768819906,48141300
2020-02-28,39.837486267089844,39.837486267089844,37.181137244899055,37.769717639015155,62446700
2020-03-02,41.727134704589844,41.73487786162706,39.59740905197608,40.72809905306482,38127600
2020-03-03,39.729068756103516,41.93624104794476,39.48124633764977,41.78135129784211,50580700
2020-03-04,40.596435546875,40.6429033448265,39.589656892129064,40.44929195144169,24079600
2020-03-05,38.8074836730957,39.2644068622754,37.97882681455776,39.04756000610898,40788200
