date,action,shares,price,gross_cost,transaction_fee,total_cost,gross_proceeds,net_proceeds
2024-10-08 10:31:00,BUY,42,222.75,9355.5,187.11,9542.61,,
2024-10-08 10:32:00,SELL,42,222.9,,187.23600000000002,,9361.800000000001,9174.564
2024-10-08 10:33:00,BUY,41,222.82,9135.619999999999,182.71239999999997,9318.3324,,
2024-10-08 10:34:00,SELL,41,222.95,,182.819,,9140.949999999999,8958.131
2024-10-08 10:35:00,BUY,39,222.97,8695.83,173.9166,8869.7466,,
2024-10-08 10:36:00,SELL,39,222.83,,173.80740000000003,,8690.37,8516.562600000001
2024-10-08 10:37:00,BUY,38,222.88,8469.44,169.3888,8638.828800000001,,
2024-10-08 10:38:00,SELL,38,222.91,,169.4116,,8470.58,8301.1684
2024-10-08 10:41:00,BUY,36,222.83,8021.88,160.4376,8182.3176,,
2024-10-08 10:46:00,SELL,36,222.73,,160.3656,,8018.28,7857.9144
2024-10-08 10:47:00,BUY,35,222.77,7796.950000000001,155.93900000000002,7952.889000000001,,
2024-10-08 10:49:00,SELL,35,222.75,,155.925,,7796.25,7640.325
2024-10-08 10:52:00,BUY,33,223.16,7364.28,147.2856,7511.5656,,
2024-10-08 10:54:00,SELL,33,223.15,,147.279,,7363.95,7216.671
2024-10-08 10:55:00,BUY,32,223.15,7140.8,142.816,7283.616,,
2024-10-08 10:56:00,SELL,32,223.23,,142.8672,,7143.36,7000.4928
2024-10-08 10:57:00,BUY,31,223.22,6919.82,138.3964,7058.216399999999,,
2024-10-08 10:59:00,SELL,31,223.13,,138.3406,,6917.03,6778.689399999999
2024-10-08 11:00:00,BUY,30,223.0,6690.0,133.8,6823.8,,
2024-10-08 11:01:00,SELL,30,223.01,,133.80599999999998,,6690.299999999999,6556.494
2024-10-08 11:02:00,BUY,29,223.0,6467.0,129.34,6596.34,,
2024-10-08 11:03:00,SELL,29,223.05,,129.36900000000003,,6468.450000000001,6339.081000000001
2024-10-08 11:04:00,BUY,27,223.11,6023.97,120.47940000000001,6144.4494,,
2024-10-08 11:05:00,SELL,27,223.25,,120.555,,6027.75,5907.195
2024-10-08 11:06:00,BUY,26,223.2,5803.2,116.064,5919.264,,
2024-10-08 11:07:00,SELL,26,223.25,,116.09,,5804.5,5688.41
2024-10-08 11:08:00,BUY,25,223.29,5582.25,111.645,5693.895,,
2024-10-08 11:09:00,SELL,25,223.35,,111.675,,5583.75,5472.075
2024-10-08 11:10:00,BUY,24,223.2,5356.799999999999,107.13599999999998,5463.936,,
2024-10-08 11:11:00,SELL,24,223.2,,107.13599999999998,,5356.799999999999,5249.663999999999
2024-10-08 11:12:00,BUY,24,223.26,5358.24,107.1648,5465.404799999999,,
2024-10-08 11:14:00,SELL,24,223.24,,107.15520000000001,,5357.76,5250.6048
2024-10-08 11:16:00,BUY,23,223.05,5130.150000000001,102.60300000000001,5232.753000000001,,
2024-10-08 11:17:00,SELL,23,223.0,,102.58,,5129.0,5026.42
2024-10-08 11:22:00,BUY,22,222.9,4903.8,98.07600000000001,5001.876,,
2024-10-08 11:23:00,SELL,22,222.78,,98.0232,,4901.16,4803.1368
2024-10-08 11:24:00,BUY,21,222.8,4678.8,93.57600000000001,4772.376,,
2024-10-08 11:28:00,SELL,21,222.87,,93.60540000000002,,4680.27,4586.6646
2024-10-08 11:29:00,BUY,20,222.9,4458.0,89.16,4547.16,,
2024-10-08 11:30:00,SELL,20,223.05,,89.22,,4461.0,4371.78
2024-10-08 11:31:00,BUY,19,223.03,4237.57,84.75139999999999,4322.3214,,
2024-10-08 11:32:00,SELL,19,223.08,,84.77040000000001,,4238.52,4153.7496
2024-10-08 11:33:00,BUY,19,223.2,4240.8,84.816,4325.616,,
2024-10-08 11:34:00,SELL,19,223.22,,84.82360000000001,,4241.18,4156.356400000001
2024-10-08 11:35:00,BUY,18,223.22,4017.96,80.3592,4098.3192,,
2024-10-08 11:36:00,SELL,18,223.25,,80.37,,4018.5,3938.13
2024-10-08 11:37:00,BUY,17,223.24,3795.08,75.9016,3870.9816,,
2024-10-08 11:38:00,SELL,17,223.22,,75.8948,,3794.74,3718.8451999999997
2024-10-08 11:41:00,BUY,17,223.14,3793.3799999999997,75.8676,3869.2475999999997,,
2024-10-08 11:44:00,SELL,17,223.18,,75.8812,,3794.06,3718.1788
2024-10-08 11:47:00,BUY,16,223.1,3569.6,71.392,3640.9919999999997,,
2024-10-08 11:49:00,SELL,16,223.15,,71.408,,3570.4,3498.992
2024-10-08 11:51:00,BUY,15,223.2,3348.0,66.96000000000001,3414.96,,
2024-10-08 11:53:00,SELL,15,223.25,,66.975,,3348.75,3281.775
2024-10-08 11:58:00,BUY,15,223.2,3348.0,66.96000000000001,3414.96,,
2024-10-08 11:59:00,SELL,15,223.18,,66.95400000000001,,3347.7000000000003,3280.746
2024-10-08 12:00:00,BUY,14,223.18,3124.52,62.4904,3187.0104,,
2024-10-08 12:01:00,SELL,14,223.23,,62.5044,,3125.22,3062.7156
2024-10-08 12:02:00,BUY,14,223.23,3125.22,62.5044,3187.7243999999996,,
2024-10-08 12:03:00,SELL,14,223.15,,62.482,,3124.1,3061.618
2024-10-08 12:04:00,BUY,13,223.25,2902.25,58.045,2960.295,,
2024-10-08 12:05:00,SELL,13,223.13,,58.0138,,2900.69,2842.6762
2024-10-08 12:07:00,BUY,13,223.15,2900.9500000000003,58.019000000000005,2958.969,,
2024-10-08 12:08:00,SELL,13,223.19,,58.029399999999995,,2901.47,2843.4406
2024-10-08 12:09:00,BUY,12,223.1995,2678.3940000000002,53.56788,2731.9618800000003,,
2024-10-08 12:10:00,SELL,12,223.1072,,53.545728,,2677.2864,2623.740672
2024-10-08 12:11:00,BUY,12,223.1,2677.2,53.544,2730.7439999999997,,
2024-10-08 12:12:00,SELL,12,223.12,,53.5488,,2677.44,2623.8912
2024-10-08 12:13:00,BUY,11,223.12,2454.32,49.086400000000005,2503.4064000000003,,
2024-10-08 12:14:00,SELL,11,223.11,,49.0842,,2454.21,2405.1258000000003
2024-10-08 12:15:00,BUY,11,223.15,2454.65,49.093,2503.743,,
2024-10-08 12:17:00,SELL,11,223.01,,49.0622,,2453.1099999999997,2404.0478
2024-10-08 12:18:00,BUY,10,223.0907,2230.907,44.618140000000004,2275.52514,,
2024-10-08 12:19:00,SELL,10,223.1,,44.62,,2231.0,2186.38
2024-10-08 12:20:00,BUY,10,223.2,2232.0,44.64,2276.64,,
2024-10-08 12:21:00,SELL,10,223.2,,44.64,,2232.0,2187.36
2024-10-08 12:23:00,BUY,10,223.23,2232.2999999999997,44.645999999999994,2276.946,,
2024-10-08 12:24:00,SELL,10,223.2,,44.64,,2232.0,2187.36
2024-10-08 12:25:00,BUY,9,223.2,2008.8,40.176,2048.976,,
2024-10-08 12:26:00,SELL,9,223.23,,40.1814,,2009.07,1968.8886
